Nr of tags: 472
0: [nn, 152470]
1: [in, 120557]
2: [at, 97959]
3: [jj, 64028]
4: [., 60638]
5: [,, 58156]
6: [nns, 55110]
7: [cc, 37718]
8: [rb, 36464]
9: [np, 34476]
10: [vb, 33693]
11: [vbn, 29186]
12: [vbd, 26167]
13: [cs, 22143]
14: [pps, 18253]
15: [vbg, 17893]
16: [pp$, 16872]
17: [to, 14918]
18: [ppss, 13802]
19: [cd, 13510]
20: [nn-tl, 13372]
21: [md, 12431]
22: [ppo, 11181]
23: [bez, 10066]
24: [bedz, 9806]
25: [ap, 9522]
26: [dt, 8957]
27: [``, 8837]
28: ['', 8789]
29: [ql, 8735]
30: [vbz, 7373]
31: [be, 6360]
32: [rp, 6009]
33: [wdt, 5539]
34: [hvd, 4895]
35: [*, 4603]
36: [wrb, 4509]
37: [ber, 4379]
38: [jj-tl, 4107]
39: [np-tl, 4019]
40: [hv, 3928]
41: [wps, 3924]
42: [--, 3405]
43: [bed, 3282]
44: [abn, 3010]
45: [dti, 2921]
46: [pn, 2573]
47: [np$, 2565]
48: [ben, 2470]
49: [dts, 2435]
50: [hvz, 2433]
51: [), 2273]
52: [(, 2264]
53: [nns-tl, 2226]
54: [ex, 2164]
55: [jjr, 1958]
56: [od, 1935]
57: [nr, 1566]
58: [:, 1558]
59: [nn$, 1480]
60: [in-tl, 1477]
61: [nn-hl, 1471]
62: [do, 1353]
63: [nps, 1275]
64: [ppl, 1233]
65: [rbr, 1182]
66: [dod, 1047]
67: [jjt, 1005]
68: [cd-tl, 898]
69: [md*, 866]
70: [at-tl, 746]
71: [abx, 730]
72: [beg, 686]
73: [nns-hl, 609]
74: [uh, 608]
75: [.-hl, 598]
76: [vbn-tl, 591]
77: [np-hl, 517]
78: [in-hl, 508]
79: [do*, 485]
80: [ppss+md, 484]
81: [doz, 467]
82: [cd-hl, 444]
83: [pps+bez, 430]
84: [dod*, 402]
85: [jj-hl, 396]
86: [nn$-tl, 361]
87: [jjs, 359]
88: [abl, 357]
89: [ppls, 345]
90: [at-hl, 332]
91: [', 317]
92: [nr-tl, 309]
93: [cc-tl, 307]
94: [fw-nn, 288]
95: [hvg, 281]
96: [wpo, 280]
97: [ppss+ber, 278]
98: [ppss+bem, 270]
99: [qlp, 261]
100: [nns$, 257]
101: [wp$, 252]
102: [ppss+hv, 241]
103: [hvn, 237]
104: [bem, 226]
105: [od-tl, 201]
106: [)-hl, 184]
107: [dt+bez, 179]
108: [wql, 176]
109: [,-hl, 171]
110: [fw-nn-tl, 170]
111: [pp$$, 164]
112: [(-hl, 162]
113: [nil, 157]
114: [bedz*, 154]
115: [vbg-hl, 146]
116: [pps+md, 144]
117: [np$-tl, 141]
118: [:-hl, 138]
119: [vbn-hl, 137]
120: [vbg-tl, 133]
121: [nn-tl-hl, 129]
122: [vb-hl, 125]
123: [cc-hl, 119]
124: [nn-nc, 118]
125: [bez*, 117]
126: [ex+bez, 105]
127: [dtx, 104]
128: [rbt, 101]
129: [hvd*, 99]
130: [vb-tl, 96]
131: [doz*, 89]
132: [pn$, 89]
133: [fw-in, 84]
134: [ppss+hvd, 83]
135: [fw-nns, 83]
136: [pps+hvd, 83]
137: [nns$-tl, 74]
138: [fw-jj-tl, 74]
139: [vbz-hl, 72]
140: [vb+ppo, 71]
141: [nps-tl, 67]
142: [nr$, 66]
143: [to-hl, 55]
144: [fw-jj, 53]
145: [rb-hl, 49]
146: [ber*, 47]
147: [wdt+bez, 47]
148: [fw-at-tl, 44]
149: [pps+hvz, 43]
150: [hv*, 42]
151: [jj-nc, 41]
152: [in-nc, 41]
153: [vb-nc, 41]
154: [ap-hl, 40]
155: [rb-tl, 40]
156: [fw-in-tl, 40]
157: [nps$, 38]
158: [wrb-hl, 36]
159: [fw-nns-tl, 36]
160: [pp$-tl, 35]
161: [at-nc, 35]
162: [nn+bez, 34]
163: [fw-rb, 32]
164: [ppss-nc, 31]
165: [bez-hl, 30]
166: [wdt-hl, 30]
167: [md-hl, 27]
168: [fw-cc, 27]
169: [fw-vb, 26]
170: [jj-tl-hl, 26]
